Date,Open,High,Low,Close,Adj Close,Rendimiento,IPC,Rendimiento,Correlacion,Volume
2019-01-07,109.910004,111.400002,109.300003,110.559998,109.225136,0,43542.871094,0,0,6714700
2019-01-08,111.800003,112.559998,111.169998,111.419998,110.074753,0.007778584958686,43648.070313,0.002415991788251,0,8730700
2019-01-09,111.800003,112.800003,111.559998,112.669998,111.309662,0.011218821449456,43668.949219,0.000478346599295,-1,5931900
2019-01-10,111.989998,112.910004,111.5,112.800003,111.438095,0.001153835145057,43556.109375,-0.002583983494407,0.740237008109734,6160100
2019-01-11,112.18,112.919998,111.730003,112.650002,111.289909,-0.001329760707055,43397.980469,-0.003630464434704,0.860972859653144,4819100
2019-01-14,111.650002,112.699997,111.43,112.419998,111.062683,-0.002041748457176,43603.621094,0.004738483744581,0.142556975229278,6980600
2019-01-15,112.300003,113.18,110.610001,111.760002,110.410652,-0.005870837822277,43819.53125,0.004951656550142,-0.207235987808269,9800900
2019-01-16,111.449997,112.010002,110.809998,110.910004,109.570915,-0.007605579577594,43932.078125,0.002568418049885,-0.262262099316358,5899900
2019-01-17,110.720001,111.260002,110.160004,111.010002,109.669708,0.000901635256035,44241.539063,0.007044076929834,-0.206404600862836,6392000
2019-01-18,111.860001,111.93,110.830002,111.040001,109.699348,0.000270266061071,44028.960938,-0.004804944165647,-0.165210653978342,8554700
2019-01-22,110.620003,111.330002,109.75,110.599998,109.264656,-0.003962575967179,43768.078125,-0.005925254819603,-0.016976714147583,6986700
2019-01-23,111.190002,111.839996,110,111.120003,109.778381,0.004701657597311,43679.671875,-0.002019879642591,-0.059633794252129,6845600
2019-01-24,111,111.110001,109.93,110.550003,109.215263,-0.005129589222126,43566.109375,-0.0025998936147,0.000353280018614,6716800
2019-01-25,111.470001,111.5,110.660004,111.089996,109.748734,0.004884582844433,43638.621094,0.001664406577504,0.026877334100295,5706900
2019-01-28,110.760002,110.989998,109.949997,110.809998,109.472115,-0.002520475543709,43626.148438,-0.000285816913718,0.031096219234876,6178800
2019-01-29,110.650002,110.93,110,110.900002,109.561035,0.000812261643068,43700.101563,0.001695155947702,0.034226683318647,5253700
2019-01-30,110.300003,110.580002,108.959999,110.129997,108.800331,-0.0069431983734,43631.359375,-0.001573044124415,0.073095776160436,7853800
2019-01-31,110.099998,111.540001,110.010002,111.519997,110.173546,0.012621422999164,43987.941406,0.008172608786613,0.301201072500535,8351600
2019-02-01,111.970001,112.050003,110.93,111.300003,109.956207,-0.001972696785125,43738.269531,-0.00567591633115,0.315709323561581,6557700
2019-02-04,111.410004,111.980003,110.68,111.800003,110.450172,0.004492379407012,44337.101563,0.013691260272096,0.346582372444384,7037000
2019-02-05,112.019997,112.739998,111.449997,112.660004,111.299789,0.00769231033882,43855.789063,-0.010855750218947,0.168793186045973,13619800
2019-02-06,113.849998,113.919998,111.07,111.410004,110.06488,-0.011095339992064,43624.550781,-0.005272696876297,0.240786263641927,14229000
2019-02-07,111.050003,111.110001,109.809998,110.949997,109.61042,-0.004129019174872,43180.449219,-0.010180083325773,0.278224781329709,8658100
2019-02-08,110.459999,111.540001,110.059998,111.510002,110.163673,0.005047448956039,43285.171875,0.002425233129671,0.289498930523402,6395500
2019-02-11,111.769997,111.809998,109.25,109.440002,108.118668,-0.01856333348653,43113.789063,-0.003959388505951,0.31280069222351,11086400
2019-02-12,110.209999,110.830002,109.150002,109.199997,107.881554,-0.002193090281134,42284.058594,-0.019245129853643,0.287980609513559,7610200
2019-02-13,109.239998,110.480003,109.230003,110.199997,108.869476,0.009157469125816,42725.21875,0.010433250039593,0.348500948320833,6919700
2019-02-14,109.849998,111.5,109.540001,110.660004,109.323929,0.004174292158805,42988.71875,0.006167317750714,0.361953727537123,6324300
