Date,Open,High,Low,Close,Adj Close,Rendimiento,IPC,Rend-ipc,Correlacion,Volume
2019-01-07,74.739998,76.360001,74.300003,75.720001,74.068581,0,43542.871094,0,0,8184800
2019-01-08,76.830002,77.400002,76.199997,76.730003,75.056564,0.01333875965573,43648.070313,0.002415991788251,0,8809000
2019-01-09,76.970001,77.150002,76.139999,76.589996,74.919617,-0.001824583923133,43668.949219,0.000478346599295,1,8591000
2019-01-10,75.639999,77.339996,75.459999,76.419998,74.753334,-0.002219485451988,43556.109375,-0.002583983494407,0.807742512884763,11148600
2019-01-11,76.339996,76.889999,75.800003,76.040001,74.381622,-0.00497251400185,43397.980469,-0.003630464434704,0.849637163861669,10689900
2019-01-14,75.459999,76.809998,75.459999,76.089996,74.430511,0.00065727257198,43603.621094,0.004738483744581,0.571274693301524,5677400
2019-01-15,76.190002,77.980003,76.129997,77.879997,76.181488,0.02352498963765,43819.53125,0.004951656550142,0.708206476358065,6212400
2019-01-16,78,78.849998,77.589996,77.68,75.98584,-0.002568182968545,43932.078125,0.002568418049885,0.629776883472782,5697100
2019-01-17,77.540001,79.400002,77.309998,79.129997,77.404213,0.018666280454358,44241.539063,0.007044076929834,0.723566774270896,7737300
2019-01-18,79.949997,80.970001,79.739998,80.449997,78.695419,0.016681340071244,44028.960938,-0.004804944165647,0.389259779584547,10404100
2019-01-22,80.330002,81.309998,80.199997,80.75,78.988884,0.003729124309002,43768.078125,-0.005925254819603,0.382035874246897,8781700
2019-01-23,81.190002,81.400002,80.220001,80.5,78.744331,-0.003096043235653,43679.671875,-0.002019879642591,0.410233578505993,5823000
2019-01-24,80.599998,80.870003,79.550003,80.440002,78.685654,-0.000745158403848,43566.109375,-0.0025998936147,0.431455121726375,4753200
2019-01-25,81.25,81.330002,80.43,80.610001,78.851944,0.002113345845737,43638.621094,0.001664406577504,0.41791348286243,4457100
2019-01-28,79.800003,80.510002,79.739998,80.32,78.568268,-0.003597577759148,43626.148438,-0.000285816913718,0.41326350142865,5452000
2019-01-29,80.360001,80.830002,79.839996,80.220001,78.470451,-0.001244993716802,43700.101563,0.001695155947702,0.390071662751176,4187500
2019-01-30,80.400002,81.290001,80.059998,81.279999,79.507332,0.01321364904606,43631.359375,-0.001573044124415,0.343975073750392,5200200
2019-01-31,81.18,81.949997,80.709999,81.879997,80.094231,0.007381696571078,43987.941406,0.008172608786613,0.338578033332086,8599200
2019-02-01,81.830002,81.900002,81.129997,81.510002,79.732315,-0.004518627565074,43738.269531,-0.00567591633115,0.391807766657126,5351900
2019-02-04,81.220001,82,80.830002,81.989998,80.201851,0.005888904642992,44337.101563,0.013691260272096,0.340595951629135,4236600
2019-02-05,81.980003,83.190002,81.93,82.860001,81.052864,0.010610889766123,43855.789063,-0.010855750218947,0.220008570766626,6545600
2019-02-06,82.510002,82.709999,81.639999,82.709999,80.906136,-0.001810275328457,43624.550781,-0.005272696876297,0.247272119381002,3682800
